customer_id,archetype,tenure_months,benefit,cause,nudge_copy,copy_length
C34549,Digital Affluent,7,Renewal Vouchers @ Rs.20L,timing,"Your journey to the next milestone has begun, and your Renewal Vouchers await as you progress toward your next tier",115
C11092,Digital Affluent,85,Dining Perks (EazyDiner + PVR),friction,Skip your app downloads and tap straight into your curated tables at top venues with your Dining Perks,102
C05569,Dormant Premium,16,Renewal Vouchers @ Rs.20L,timing,"Your next Platinum milestone awaits, unlocking curated Renewal Vouchers designed for your journey ahead",103
C00612,Global Traveller,10,Taj Epicure 25% Discount,timing,Your Platinum Global Dining privilege at Taj awaits your next journey home,74
C19771,Global Traveller,36,Taj Epicure 25% Discount,timing,Your next global journey awaits with curated dining at Taj Epicure. Enjoy your exclusive Platinum privileges before your window closes,134
C13951,Domestic Executive,59,Taj Epicure 25% Discount,awareness,Elevate your dining with your Taj Epicure privilege reserved for your Platinum membership,89
C33802,Digital Affluent,33,Renewal Vouchers @ Rs.20L,timing,Your milestone progress puts new Renewal Vouchers within reach today. Unlock your curated rewards now,101
C19029,Global Traveller,52,Taj Epicure 25% Discount,awareness,Discover your curated Taj Epicure dining privilege waiting for you today. Let your Platinum Global Traveller journey extend effortlessly to your next culinary experience,169
C25008,Digital Affluent,20,Renewal Vouchers @ Rs.20L,timing,"Your Platinum milestone awaits, unlocking curated privileges tailored for your digital lifestyle. Simply tap to claim your next reward today",140
C37528,Global Traveller,23,Renewal Vouchers @ Rs.20L,timing,Your Platinum journey unlocks new horizons with your milestone Renewal Vouchers waiting for you. Step into your next adventure by claiming them today,149
C26568,Digital Affluent,80,Taj Epicure 25% Discount,awareness,Unlock your Taj Epicure dining privileges curated exclusively for your Platinum membership,90
C01214,Global Traveller,85,Taj Epicure 25% Discount,timing,Your global adventures deserve an extraordinary dining encore with your Taj Epicure privilege,93
C19647,Domestic Executive,9,Taj Epicure 25% Discount,awareness,Your Platinum membership unlocks exclusive Taj Epicure dining privileges waiting to be discovered,97
C22536,Global Traveller,56,Taj Epicure 25% Discount,timing,"Your Platinum tenure unlocks more than miles, starting with the Taj Epicure Privileges waiting for your next journey home",121
C07165,Business Owner,57,Taj Epicure 25% Discount,awareness,Elevate your next business dinner with your Taj Epicure dining privilege waiting in your Platinum ledger,104
C38366,Digital Affluent,41,Renewal Vouchers @ Rs.20L,timing,Your progression milestone unlocks your Renewal Vouchers today. Curate your next digital-first luxury experience on the Amex App,128
C36615,Global Traveller,13,Renewal Vouchers @ Rs.20L,timing,"Your journeys near and far have unlocked new horizons, Global Traveller. Claim your Renewal Vouchers today and elevate your next adventure",138
C13672,Domestic Executive,74,Taj Epicure 25% Discount,awareness,Your Platinum membership unlocks a preferred dining journey at Taj Epicure. Discover this curated privilege waiting in your account today,137
C36597,Domestic Executive,39,Renewal Vouchers @ Rs.20L,timing,"Your dedication for over three years has unlocked your next milestone, your Renewal Vouchers are ready. Claim them now to elevate your journey",142
C38388,Domestic Executive,88,Taj Epicure 25% Discount,awareness,Your Platinum tenure unlocks more than moments—discover your Taj Epicure privileges waiting in your benefits ledger,115
C12643,Digital Affluent,84,Renewal Vouchers @ Rs.20L,timing,"Eight years of partnership deserve a seamless journey, not a cliff. Your next milestone is unlocked and ready to claim",118
C27335,Dormant Premium,7,Hotel Elite Status (4 programmes),awareness,Your Platinum Card unlocks elite tier status across four hotel portfolios. Step right into suite upgrades and late checkouts waiting for you,140
C02366,Dormant Premium,68,Renewal Vouchers @ Rs.20L,timing,Your progression on the Milestone Ladder has unlocked your Renewal Vouchers. It is time to claim your rewards for another exceptional year with Platinum,152
C29172,Digital Affluent,55,Hotel Elite Status (4 programmes),awareness,Unlock your curated Hotel Elite Status privileges today and experience elevated stays tailored for your journey,111
C27656,Business Owner,42,Renewal Vouchers @ Rs.20L,timing,"Your business milestone has unlocked your Renewal Vouchers, ready to claim at your convenience",94
C38826,Dormant Premium,26,Unlimited Lounge Access,awareness,Your Platinum membership unlocks a world of calm with Unlimited Lounge Access before your next departure,104
C06507,Global Traveller,31,Taj Epicure 25% Discount,timing,"Your Platinum journey has earned you the Taj Epicure benefit, waiting to enhance your next international escape",111
C18884,Business Owner,8,Renewal Vouchers @ Rs.20L,timing,"Your milestone ladder has progressed, Business Owner. Claim your Renewal Vouchers today to celebrate eight exceptional months of leadership",139
C06992,Dormant Premium,91,Unlimited Lounge Access,awareness,Your Platinum tenure unlocks a world of comfort with Unlimited Lounge Access waiting for your next departure,108
C09913,Digital Affluent,21,Taj Epicure 25% Discount,awareness,Your Platinum membership includes exclusive Taj Epicure dining privileges waiting to be discovered. Explore your curated culinary rewards on the Amex app today,159
C13132,Global Traveller,116,Renewal Vouchers @ Rs.20L,timing,"Your global journeys have unlocked your next milestone of Renewal Vouchers, ready for whenever your travels call next",117
C22366,Digital Affluent,31,Renewal Vouchers @ Rs.20L,timing,"Your Platinum milestone journey has reached the next tier, unlocking your Renewal Vouchers instantly. Claim them now to curate your next digital or lifestyle indulgence",168
C00862,Digital Affluent,27,Renewal Vouchers @ Rs.20L,timing,"Your milestone rewards are ready to claim, making this the ideal moment to secure your Renewal Vouchers",103
C09187,Global Traveller,18,Renewal Vouchers @ Rs.20L,timing,Your next journey awaits as your Platinum membership milestone unlocks your Renewal Vouchers today,98
C12161,Domestic Executive,95,Renewal Vouchers @ Rs.20L,timing,"As a valued Platinum member of nearly eight years, your next milestone reward awaits. Claim your Renewal Vouchers today and let your achievements be celebrated",159
C37671,Digital Affluent,17,Renewal Vouchers @ Rs.20L,timing,Your next milestone awaits on the horizon. Claim your Platinum Renewal Vouchers today and elevate your journey,110
C06820,Domestic Executive,16,Dining Perks (EazyDiner + PVR),friction,Skipping the enrolment gate on your Dining Perks makes your next table reservation effortless. Indulge your palate tonight without the wait,139
C04951,Business Owner,38,Taj Epicure 25% Discount,awareness,Unlock your exclusive Taj Epicure dining privileges crafted for enduring business success,89
C04405,Dormant Premium,39,Unlimited Lounge Access,awareness,"Your Platinum Concierge has curated a seamless journey ahead, beginning with your complimentary Unlimited Lounge Access waiting to be discovered",144
C26582,Dormant Premium,36,Hotel Elite Status (4 programmes),awareness,"Three years of Platinum status brings more than recognition, especially with Hotel Elite Status waiting across four global programmes. Step effortlessly into your next stay with your entitled upgrades ready to discover",218
C10188,Business Owner,27,Renewal Vouchers @ Rs.20L,timing,"Your 27-month journey unlocks a new tier of Renewal Vouchers, crafted for leaders like you",90
C23794,Domestic Executive,93,Hotel Elite Status (4 programmes),awareness,Your Platinum Card unlocks elite tier privileges across four hotel programmes. See your entitlements and elevate your next stay,127
C11442,Global Traveller,15,Taj Epicure 25% Discount,timing,Your next journey deserves a culinary encore with the Taj Epicure Program. Reserve your dining experience today and savour the flavours you love,144
C36017,Dormant Premium,100,Renewal Vouchers @ Rs.20L,timing,Your journey of over eight years has unlocked your next milestone. Claim your Renewal Vouchers today and elevate your travels,125
C28200,Global Traveller,14,Taj Epicure 25% Discount,awareness,Explore your Taj Epicure membership benefit waiting in your Platinum account to elevate your next international escape,118
C33571,Domestic Executive,83,Taj Epicure 25% Discount,awareness,Your Platinum membership includes exclusive Taj Epicure dining privileges waiting to be explored today,102
C39439,Global Traveller,12,Renewal Vouchers @ Rs.20L,timing,Your journey as a Global Traveller has reached a milestone after twelve months with your Platinum Card. Claim your waiting Renewal Vouchers and let your next adventure unfold seamlessly,185
C32830,Domestic Executive,117,Renewal Vouchers @ Rs.20L,timing,"As your next milestone approaches, unlock your curated Renewal Vouchers to elevate your travels. Let our Concierge secure your next escape today",144
C32204,Domestic Executive,67,Renewal Vouchers @ Rs.20L,timing,Your journey of six remarkable years unlocks your milestone Renewal Vouchers today. Let your next escape begin with the privileges you've earned,144
C17221,Global Traveller,114,Hotel Elite Status (4 programmes),timing,"As your next journey approaches, elevate your stay with complimentary Hotel Elite Status across four premier programmes",119
C34704,Dormant Premium,43,Renewal Vouchers @ Rs.20L,timing,Forty-three months of exceptional journeys have unlocked your next tier of Renewal Vouchers. Let your Platinum experience evolve seamlessly into your next chapter,162
C20562,Digital Affluent,14,Hotel Elite Status (4 programmes),awareness,Your Platinum Card unlocks elite status across four premier hotel programmes waiting to be activated,100
C14915,Domestic Executive,6,Taj Epicure 25% Discount,awareness,Your Platinum membership unlocks exclusive dining privileges at Taj Epicure. Discover your curated benefits today and elevate your next evening out,147
C25211,Domestic Executive,37,Renewal Vouchers @ Rs.20L,timing,Three years of excellence deserve a seamless transition to your next tier of rewards. Your Renewal Vouchers are ready to unlock your next journey,145
C04431,Business Owner,93,Taj Epicure 25% Discount,awareness,"Elevate your next business dinner with your Taj Epicure dining privilege, curated for your Platinum journey",107
C15702,Domestic Executive,14,Renewal Vouchers @ Rs.20L,timing,Your next milestone reward is unlocked. Claim your Renewal Vouchers and elevate your journeys ahead,99
C27291,Global Traveller,19,Renewal Vouchers @ Rs.20L,timing,"As your journey continues, your next milestone reward awaits. Claim your Renewal Vouchers and elevate your upcoming travels",123
C17246,Digital Affluent,27,Hotel Elite Status (4 programmes),awareness,Unlock luxury upgrades across leading hotel groups with your Platinum Card status. Your curated collection of elite tiers is waiting to be explored,147
C20301,Domestic Executive,69,Hotel Elite Status (4 programmes),awareness,Unlock instant upgrades and late checkouts across premier global properties with your Platinum Hotel Elite Status entitlement,125
C28366,Domestic Executive,84,Renewal Vouchers @ Rs.20L,awareness,"Seven years of partnership deserve a fitting tribute, [Name]. Your milestone Renewal Vouchers await to elevate your next journey",128
C17591,Digital Affluent,21,Renewal Vouchers @ Rs.20L,awareness,Unlock your progressive milestone rewards as a valued Platinum member. Your earned vouchers await your selection in the Amex App,128
C29970,Domestic Executive,6,Hotel Elite Status (4 programmes),awareness,Your Platinum Card unlocks elite status across four premier hotel programmes. Elevate your next domestic stay by claiming your privileges today,143
C08225,Dormant Premium,39,Renewal Vouchers @ Rs.20L,timing,"Your next milestone is unlocked with your Platinum Card, and your Renewal Vouchers are ready to curate your next experience",123
C09648,Global Traveller,39,Taj Epicure 25% Discount,timing,"Your Platinum Global Dining Privileges await your next voyage, making your next Taj getaway even more rewarding",111
C20946,Digital Affluent,46,Renewal Vouchers @ Rs.20L,timing,Your journey of distinction continues with milestones designed around your pace. Unlock your Platinum Renewal Vouchers today,124
C20872,Domestic Executive,12,Renewal Vouchers @ Rs.20L,timing,A year of leadership deserves celebration with your earned Renewal Vouchers. Unlock your curated milestones today,113
C12563,Global Traveller,6,Renewal Vouchers @ Rs.20L,awareness,Your journey to the next milestone unlocks your Renewal Vouchers. Let your Platinum Privilege unfold as you cross your next travel horizon.,139
C15281,Dormant Premium,6,Renewal Vouchers @ Rs.20L,timing,"Your Platinum journey at six months unlocks new milestones, making this the ideal moment to claim your Renewal Vouchers",119
C05772,Domestic Executive,40,Taj Epicure 25% Discount,awareness,Your Platinum membership unlocks exclusive dining privileges at Taj Epicure. Discover this curated culinary entitlement waiting in your account,143
C34998,Business Owner,64,Renewal Vouchers @ Rs.20L,timing,"Your six years of enterprise growth have unlocked your Renewal Vouchers, ready to claim whenever your schedule allows",117
C12065,Digital Affluent,48,Renewal Vouchers @ Rs.20L,timing,Four years of Platinum living have unlocked your next milestone. Claim your Renewal Vouchers today and let the journey continue seamlessly,138
C03476,Domestic Executive,21,Renewal Vouchers @ Rs.20L,timing,"Your journey to the next milestone begins now, and your Renewal Vouchers are ready to claim. Step into your next tier of privilege and let your card reward your enduring loyalty",177
C16047,Digital Affluent,10,Unlimited Lounge Access,timing,"Your Platinum journey goes beyond the screen, so step into the airport lounge today. Seamless travel awaits your next departure.",128
C37981,Digital Affluent,80,Dining Perks (EazyDiner + PVR),friction,Your Platinum Dining Perks are now instantly accessible without enrolment delays. Savor your favorite tables and cinema experiences seamlessly today,148
C13856,Digital Affluent,119,Taj Epicure 25% Discount,awareness,Unlock the curated dining privileges waiting on your Platinum Card with Taj Epicure,83
C24936,Domestic Executive,9,Taj Epicure 25% Discount,awareness,"As a valued Platinum member, your Taj Epicure dining privilege is waiting to be discovered. Explore curated culinary journeys designed for your refined palate",158
C07330,Digital Affluent,113,Taj Epicure 25% Discount,awareness,Unlock your Taj Epicure dining privileges curated for Platinum members and experience extraordinary culinary journeys today,123
C36266,Domestic Executive,102,Renewal Vouchers @ Rs.20L,timing,"Your next milestone awaits after years of exceptional journeys, unlock your Renewal Vouchers today",98
C38637,Domestic Executive,11,Taj Epicure 25% Discount,awareness,"Your Platinum Tier unlocks the Taj Epicure Program, designed for your sophisticated palate. Discover this curated dining privilege awaiting your next executive dinner",166
C22934,Business Owner,23,Taj Epicure 25% Discount,awareness,"Unlock your Taj Epicure dining privilege, crafted to elevate your business entertaining and personal celebrations",113
C20341,Domestic Executive,14,Renewal Vouchers @ Rs.20L,timing,Your journey as a Platinum member has reached a rewarding new milestone. Claim your exclusive Renewal Vouchers today to elevate your upcoming plans,147
C12188,Domestic Executive,26,Renewal Vouchers @ Rs.20L,timing,Your next milestone brings your well-earned Renewal Vouchers right on schedule. Claim them now to elevate your upcoming plans,125
C10681,Dormant Premium,8,Hotel Elite Status (4 programmes),awareness,Unlock VIP privileges across four premier hotel groups included in your Platinum membership. Let our concierge curate your next stay with guaranteed upgrades and late checkouts,176
C29900,Domestic Executive,73,Taj Epicure 25% Discount,awareness,Your Platinum legacy unlocks exclusive dining privileges at Taj Epicure. Savour the refined flavours waiting on your next evening out,133
C24157,Dormant Premium,98,Renewal Vouchers @ Rs.20L,timing,Your journey of nearly eight years deserves a celebration. Claim your Renewal Vouchers at your milestone and elevate your next escape,133
C18391,Digital Affluent,18,Taj Epicure 25% Discount,awareness,Unlock your Taj Epicure dining privileges curated exclusively for your Platinum membership,90
